ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	GeneRatioNum	BgRatioNum	FoldEnrich	FDR	minusLog10FDR	Term
GO:0000727	DNA replication initiation	8/1105	12/5878	0.6666666666666666	3.5463046757164403	4.248085297844782	3.6674769596613103e-4	0.02090461867006947	0.019765770561543064	NCU08119/NCU08009/NCU05194/NCU04378/NCU04327/NCU02539/NCU02241/NCU01171	8	0.007239819004524887	0.002041510717931269	3.5463046757164407	0.02090461867006947	1.6797577501893894	DNA replication initiation
GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	7/1105	11/5878	0.6363636363636364	3.3851090086384206	3.80942825258507	0.0013238352687779795	0.037729305160172415	0.03567387671654345	NCU08668/NCU07956/NCU07041/NCU06409/NCU04159/NCU03396/NCU00777	7	0.006334841628959276	0.00187138482477033	3.3851090086384206	0.037729305160172415	1.4233211928875713	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0006270	DNA replication initiation	12/1105	19/5878	0.631578947368421	3.3596570612050485	4.956523942575614	2.5069740836499077e-5	0.0017862190346005593	0.0016889088563536222	NCU08119/NCU08009/NCU07430/NCU05194/NCU04378/NCU04327/NCU03597/NCU02965/NCU02776/NCU02539/NCU02241/NCU01171	12	0.01085972850678733	0.003232391970057843	3.3596570612050485	0.0017862190346005593	2.748065286944807	DNA replication initiation
GO:0000032	cell wall mannoprotein biosynthetic process	8/1105	13/5878	0.6153846153846154	3.2735120083536375	3.9481913031735965	7.967028906258248e-4	0.025228924869817784	0.023854495906457444	NCU09332/NCU08939/NCU08024/NCU06003/NCU05680/NCU02635/NCU02322/NCU01388	8	0.007239819004524887	0.0022116366110922084	3.273512008353637	0.025228924869817784	1.59810125653967	cell wall mannoprotein biosynthetic process
GO:0006261	DNA repair	9/1105	15/5878	0.6	3.191674208144796	4.089073777814657	4.766404697428373e-4	0.021963963556746176	0.020767404138603958	NCU10467/NCU10155/NCU10053/NCU08706/NCU08427/NCU06769/NCU02687/NCU01164/NCU00133	9	0.008144796380090498	0.0025518883974140864	3.1916742081447964	0.021963963556746176	1.6582892855562306	DNA repair
GO:0030148	3-keto-sphinganine metabolic process	6/1105	10/5878	0.6	3.191674208144796	3.3372920311249734	0.004575272900328126	0.10030405973796278	0.09483966497846157	NCU08985/NCU08976/NCU06694/NCU04462/NCU00983/NCU00447	6	0.005429864253393665	0.001701258931609391	3.1916742081447964	0.10030405973796278	0.9986814888528206	3-keto-sphinganine metabolic process
GO:0001732	formation of cytoplasmic translation initiation complex	8/1105	14/5878	0.5714285714285714	3.039689722042663	3.676160054908865	0.0015540300513472442	0.04026350587581497	0.038070018482765026	NCU07929/NCU07831/NCU07380/NCU06279/NCU05889/NCU03876/NCU00366/NCU00040	8	0.007239819004524887	0.0023817625042531474	3.039689722042663	0.04026350587581497	1.395088412352714	formation of cytoplasmic translation initiation complex
GO:0009303	DNA methylation	17/1105	32/5878	0.53125	2.8259615384615384	4.983110024465246	1.3149920348351596e-5	0.0012492424330934017	0.0011811858277817574	NCU09598/NCU08951/NCU07166/NCU07011/NCU06943/NCU06485/NCU05251/NCU04243/NCU03380/NCU02533/NCU01806/NCU01762/NCU01595/NCU01367/NCU01008/NCU00919/NCU00419	17	0.015384615384615385	0.005444028581150051	2.825961538461539	0.0012492424330934017	2.903353272484322	DNA methylation
GO:0090630	activation of GTPase activity	6/1105	12/5878	0.5	2.65972850678733	2.768980607598862	0.014290238245662067	0.18512354090971314	0.17503832492294208	NCU10309/NCU08499/NCU06362/NCU04514/NCU03237/NCU00196	6	0.005429864253393665	0.002041510717931269	2.6597285067873306	0.18512354090971314	0.7325383514409304	activation of GTPase activity
GO:0008299	cellular response to oxidative stress	5/1105	10/5878	0.5	2.65972850678733	2.5272910996296973	0.02538920310607678	0.2894369154092753	0.2736688840065539	NCU07719/NCU06054/NCU03922/NCU02305/NCU00712	5	0.004524886877828055	0.001701258931609391	2.6597285067873306	0.2894369154092753	0.5384460788281978	cellular response to oxidative stress
GO:0006890	Golgi localization	9/1105	18/5878	0.5	2.65972850678733	3.393030511704348	0.002689689876863477	0.06388013457550758	0.06040005337517984	NCU10066/NCU07939/NCU07319/NCU06839/NCU06447/NCU06091/NCU04293/NCU03818/NCU01361	9	0.008144796380090498	0.003062266076896904	2.65972850678733	0.06388013457550758	1.194634177609654	Golgi localization
GO:0006260	DNA duplex unwinding	30/1105	63/5878	0.47619047619047616	2.533074768368886	5.8860238617168665	1.6443743800728354e-7	4.686466983207581e-5	4.431156224196273e-5	NCU10776/NCU10467/NCU10376/NCU10155/NCU10053/NCU09561/NCU09118/NCU08706/NCU08427/NCU08119/NCU08009/NCU07887/NCU07870/NCU06769/NCU06483/NCU05194/NCU04646/NCU04548/NCU04327/NCU03763/NCU03597/NCU03555/NCU02965/NCU02687/NCU02539/NCU02232/NCU01370/NCU01171/NCU00428/NCU00133	30	0.027149321266968326	0.010717931269139162	2.5330747683688863	4.686466983207581e-5	4.329154438290178	DNA duplex unwinding
GO:0030968	endoplasmic reticulum unfolded protein response	6/1105	13/5878	0.46153846153846156	2.455134006265228	2.526992339331813	0.02238873787267111	0.26586626223796944	0.2513823199738511	NCU09265/NCU06704/NCU06091/NCU03694/NCU00692/NCU00146	6	0.005429864253393665	0.0022116366110922084	2.4551340062652276	0.26586626223796944	0.5753367700527925	endoplasmic reticulum unfolded protein response
GO:0000466	RNA methylation	5/1105	11/5878	0.45454545454545453	2.4179350061703	2.2646854518058595	0.039482707312650585	0.4018775565751935	0.3799839500766372	NCU16779/NCU06278/NCU03669/NCU03321/NCU01612	5	0.004524886877828055	0.00187138482477033	2.4179350061703007	0.4018775565751935	0.3959062469249408	RNA methylation
GO:0018126	DNA topological change	5/1105	11/5878	0.45454545454545453	2.4179350061703	2.2646854518058595	0.039482707312650585	0.4018775565751935	0.3799839500766372	NCU11249/NCU09102/NCU07885/NCU06993/NCU03037	5	0.004524886877828055	0.00187138482477033	2.4179350061703007	0.4018775565751935	0.3959062469249408	DNA topological change
