"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7","logFC_ash1","PValue_ash1","FDR_ash1"
"CM002236.1",2401,2700,".","*",1.08539949730889,0.078173974281808,0.43499078871203,1.85824536239032,0.00217825122029096,0.0502657500641797,0.206536214331407,0.753367587438702,0.860601603181989,-1.93032098728565,0.0412590800262073,0.546712590849286,1.47722455452252,0.0184801401730954,0.0278434111941304
"CM002236.1",2701,3000,".","*",-0.747457775415331,0.20412967107675,0.627335746468088,-0.0255066796927241,0.965021794366762,0.996729195272853,-0.472529891583803,0.428591194700254,0.604673563615893,-1.04956153071099,0.123479750948112,0.809264050706221,-0.509252049605872,0.401511487421406,0.451858860493236
"CM002236.1",3001,3300,".","*",0.91326264751165,0.215016985697332,0.632985875730221,0.980707028922009,0.185627242259486,0.578825223631759,0.754003678625637,0.318130292933036,0.50359202620542,-0.816473806133089,0.414669483644349,0.998872800221225,1.88502200858085,0.00825331469618296,0.0130647837162638
"CM002236.1",3301,3600,".","*",1.5187781477607,0.0041193555669243,0.113352041569169,0.584653608705947,0.275372145509774,0.677590756706629,0.764405370436214,0.150372233980776,0.32871549362762,-0.126429669317523,0.843826287144773,0.998872800221225,1.13088910311956,0.0395927777125247,0.0552868730605501
"CM002236.1",15001,15300,".","*",-0.22825322831772,0.637740966911242,0.885032953575295,-0.120626966008083,0.803893121591774,0.955886248432202,-0.530897859645297,0.291553995983434,0.484431602026926,-1.66005841154948,0.0056447011650484,0.17642693641396,-1.06830919346584,0.0416161368394765,0.057935491515692
"CM002236.1",15301,15600,".","*",0.282693175229804,0.589437839587205,0.855878194664826,0.430542281770836,0.406028309046132,0.778662644893954,-0.26732448073666,0.619035704019308,0.771300635457476,-1.08158690553602,0.0888248221335767,0.735944132370146,-0.46360074631935,0.398848840372368,0.449316676769178
"CM002236.1",15601,15900,".","*",0.112323575239718,0.825848704076984,0.962817171019635,0.165601858385242,0.740971284938466,0.924439943284228,-0.53066466911386,0.315383767597797,0.503038821499635,-2.06098095548275,0.00150995664606276,0.068357207548994,0.270208306689748,0.607605354216939,0.652465106246114
"CM002236.1",16501,16800,".","*",1.28439299162263,0.0711144732101386,0.409675141747818,1.13394368781653,0.114450673386564,0.470946888529028,-0.00546157693055416,0.997851373800411,0.99785826912474,-0.542805368436428,0.561228478467489,0.998872800221225,2.1769383465346,0.00182608818638681,0.00339559942506611
"CM002236.1",16801,17100,".","*",0.239040847090831,0.697614549472023,0.908080516921991,0.330403575750263,0.593179269507391,0.879687618091685,-0.525291803754502,0.433477996649137,0.609941740495769,-1.0860971838858,0.156124593209092,0.865460480845873,1.21803970603936,0.0425206794154283,0.0590386371089453
"CM002236.1",17101,17400,".","*",1.38517779745565,0.278912696464915,0.683948765783403,1.51231880863282,0.241818379252005,0.647051364519481,1.09542035088738,0.416897534732994,0.595079297493914,0.182154212914675,0.910606447866714,0.998872800221225,3.30373295562079,0.00394255496594043,0.00665702671835229
