PeakID (cmd=annotatePeaks.pl 129-33_ChIP_WT_K27me3_AM_Rep_2_peaks.txt /home/evt82290/Research/GCA_000182925.2_NC12_genomic.fna)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
CM002238.1-6909	CM002238.1	4774989	4829174	+	84502.6	54185.000	NA	NA	NA	NA								
CM002238.1-11192	CM002238.1	5243235	5274665	+	62613.3	31430.000	NA	NA	NA	NA								
CM002240.1-3713	CM002240.1	6411482	6436145	+	55604.0	24663.000	NA	NA	NA	NA								
CM002239.1-7753	CM002239.1	318104	344302	+	44899.1	26198.000	NA	NA	NA	NA								
CM002239.1-34	CM002239.1	165	19150	+	44291.4	18985.000	NA	NA	NA	NA								
CM002238.1-2939	CM002238.1	224396	252364	+	41884.7	27968.000	NA	NA	NA	NA								
CM002237.1-15	CM002237.1	287	18109	+	41884.7	17822.000	NA	NA	NA	NA								
CM002240.1-3993	CM002240.1	638527	664542	+	38134.3	26015.000	NA	NA	NA	NA								
CM002238.1-8568	CM002238.1	4729847	4750334	+	34333.1	20487.000	NA	NA	NA	NA								
CM002240.1-4166	CM002240.1	6211618	6234486	+	32478.0	22868.000	NA	NA	NA	NA								
CM002238.1-6501	CM002238.1	4750903	4774076	+	32476.6	23173.000	NA	NA	NA	NA								
CM002238.1-3	CM002238.1	174	15553	+	31875.6	15379.000	NA	NA	NA	NA								
CM002241.1-7590	CM002241.1	3736898	3754832	+	30000.4	17934.000	NA	NA	NA	NA								
CM002239.1-8662	CM002239.1	543241	569214	+	29749.3	25973.000	NA	NA	NA	NA								
CM002238.1-8049	CM002238.1	4638256	4662664	+	29630.5	24408.000	NA	NA	NA	NA								
CM002242.1-1795	CM002242.1	909006	930067	+	29268.5	21061.000	NA	NA	NA	NA								
CM002242.1-3723	CM002242.1	695175	720710	+	28075.8	25535.000	NA	NA	NA	NA								
CM002239.1-6569	CM002239.1	345276	364119	+	27775.3	18843.000	NA	NA	NA	NA								
CM002239.1-6670	CM002239.1	717264	738967	+	27091.5	21703.000	NA	NA	NA	NA								
CM002241.1-3973	CM002241.1	3793757	3810982	+	27022.0	17225.000	NA	NA	NA	NA								
CM002238.1-8345	CM002238.1	380567	400861	+	26992.6	20294.000	NA	NA	NA	NA								
CM002241.1-1900	CM002241.1	3709321	3727236	+	26861.7	17915.000	NA	NA	NA	NA								
CM002237.1-701	CM002237.1	4469254	4478572	+	26742.9	9318.000	NA	NA	NA	NA								
CM002242.1-2356	CM002242.1	4243996	4255176	+	25659.7	11180.000	NA	NA	NA	NA								
CM002238.1-8067	CM002238.1	5013887	5031800	+	24429.6	17913.000	NA	NA	NA	NA								
CM002239.1-8009	CM002239.1	577477	598714	+	23558.8	21237.000	NA	NA	NA	NA								
CM002241.1-7898	CM002241.1	3758792	3772825	+	23323.7	14033.000	NA	NA	NA	NA								
CM002239.1-7154	CM002239.1	639744	654427	+	21261.5	14683.000	NA	NA	NA	NA								
CM002236.1-1740	CM002236.1	208353	223700	+	21091.9	15347.000	NA	NA	NA	NA								
CM002236.1-1656	CM002236.1	9789256	9798764	+	20700.6	9508.000	NA	NA	NA	NA								
CM002241.1-4368	CM002241.1	465385	480687	+	19622.8	15302.000	NA	NA	NA	NA								
CM002239.1-4522	CM002239.1	373470	385244	+	19061.8	11774.000	NA	NA	NA	NA								
CM002239.1-7743	CM002239.1	198109	210786	+	18804.0	12677.000	NA	NA	NA	NA								
CM002240.1-3733	CM002240.1	6190630	6203541	+	18719.9	12911.000	NA	NA	NA	NA								
CM002240.1-5132	CM002240.1	557682	574864	+	18522.2	17182.000	NA	NA	NA	NA								
CM002241.1-6173	CM002241.1	450715	464959	+	18363.3	14244.000	NA	NA	NA	NA								
CM002239.1-3785	CM002239.1	5993866	6000659	+	18331.2	6793.000	NA	NA	NA	NA								
KI440766.1-1	KI440766.1	170	7139	+	17344.2	6969.000	NA	NA	NA	NA								
CM002238.1-9635	CM002238.1	4672575	4685231	+	17125.2	12656.000	NA	NA	NA	NA								
CM002239.1-7061	CM002239.1	174850	186660	+	16995.6	11810.000	NA	NA	NA	NA								
CM002239.1-4829	CM002239.1	385784	398762	+	16456.0	12978.000	NA	NA	NA	NA								
CM002239.1-6546	CM002239.1	5939543	5951390	+	15697.4	11847.000	NA	NA	NA	NA								
CM002238.1-7546	CM002238.1	5089091	5099459	+	15296.7	10368.000	NA	NA	NA	NA								
CM002242.1-7	CM002242.1	174	4557	+	14554.1	4383.000	NA	NA	NA	NA								
CM002241.1-4969	CM002241.1	4213075	4218331	+	14448.6	5256.000	NA	NA	NA	NA								
CM002238.1-8465	CM002238.1	292235	301950	+	14315.0	9715.000	NA	NA	NA	NA								
CM002240.1-5689	CM002240.1	6114922	6124209	+	14076.0	9287.000	NA	NA	NA	NA								
CM002236.1-3160	CM002236.1	255904	265860	+	14022.5	9956.000	NA	NA	NA	NA								
CM002236.1-1721	CM002236.1	295621	304847	+	13945.1	9226.000	NA	NA	NA	NA								
CM002242.1-4565	CM002242.1	661206	675773	+	13195.8	14567.000	NA	NA	NA	NA								
CM002241.1-4445	CM002241.1	3774541	3782417	+	13174.4	7876.000	NA	NA	NA	NA								
CM002238.1-7125	CM002238.1	4856425	4864474	+	12963.4	8049.000	NA	NA	NA	NA								
CM002242.1-5956	CM002242.1	4231661	4240207	+	12837.9	8546.000	NA	NA	NA	NA								
CM002239.1-9015	CM002239.1	305092	317613	+	12510.6	12521.000	NA	NA	NA	NA								
CM002241.1-9864	CM002241.1	3826302	3835756	+	12447.9	9454.000	NA	NA	NA	NA								
CM002241.1-3468	CM002241.1	190100	201155	+	12394.4	11055.000	NA	NA	NA	NA								
CM002240.1-2688	CM002240.1	6081034	6089088	+	12015.1	8054.000	NA	NA	NA	NA								
CM002240.1-3702	CM002240.1	6060034	6067523	+	11979.1	7489.000	NA	NA	NA	NA								
CM002236.1-2604	CM002236.1	288373	295158	+	11789.4	6785.000	NA	NA	NA	NA								
CM002236.1-1708	CM002236.1	35671	46928	+	11697.3	11257.000	NA	NA	NA	NA								
CM002238.1-10925	CM002238.1	4626024	4637638	+	11547.7	11614.000	NA	NA	NA	NA								
CM002242.1-3734	CM002242.1	1345280	1355909	+	11434.1	10629.000	NA	NA	NA	NA								
CM002241.1-25	CM002241.1	133	5213	+	11351.3	5080.000	NA	NA	NA	NA								
CM002238.1-7841	CM002238.1	4991039	4999962	+	11168.4	8923.000	NA	NA	NA	NA								
CM002236.1-2259	CM002236.1	9768471	9775325	+	11000.1	6854.000	NA	NA	NA	NA								
CM002241.1-4712	CM002241.1	3492544	3500423	+	10894.6	7879.000	NA	NA	NA	NA								
CM002241.1-5472	CM002241.1	4157786	4163922	+	10765.0	6136.000	NA	NA	NA	NA								
CM002238.1-5352	CM002238.1	270399	275537	+	10448.5	5138.000	NA	NA	NA	NA								
CM002240.1-6593	CM002240.1	6036181	6047978	+	10392.4	11797.000	NA	NA	NA	NA								
CM002239.1-8095	CM002239.1	464636	475161	+	9994.4	10525.000	NA	NA	NA	NA								
CM002240.1-2915	CM002240.1	6151648	6159343	+	9716.5	7695.000	NA	NA	NA	NA								
