# HOMER Peaks
# Peak finding parameters:
# tag directory = /scratch/evt82290/Run129/homer/tag/129-39_ChIP_cac-1_K27me3_AbC_Rep_1
#
# total peaks = 516
# peak size = 150
# peaks found using tags on both strands
# minimum distance between peaks = 530
# fragment length = 154
# genome size = 41233656
# Total tags = 3732647.0
# Total tags in peaks = 1043269.0
# Approximate IP efficiency = 27.95%
# tags per bp = 0.090524
# expected tags per peak = 13.579
# maximum tags considered per bp = 9.0
# effective number of tags used for normalization = 10000000.0
# Individual peaks have been stitched together into variable length regions
# Poisson p-value threshold = 1.000000e-03
# Poisson tag threshold = 27.0
# number of putative peaks = 53064
#
# input tag directory = /scratch/evt82290/Run129/homer/tag/129-44_ChIP_cac-1_input
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 115
#
# size of region used for local filtering = 10000
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 0
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks /scratch/evt82290/Run129/homer/tag/129-39_ChIP_cac-1_K27me3_AbC_Rep_1 -style histone -region -size 150 -minDist 530 -o /scratch/evt82290/Run129/Peaks/129-39_ChIP_cac-1_K27me3_AbC_Rep_1_peaks.txt -i /scratch/evt82290/Run129/homer/tag/129-44_ChIP_cac-1_input
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	region size	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Clonal Fold Change
CM002238.1-10146	CM002238.1	4722052	4830205	+	213493.3	108153.000	47.500000	79689.5	6848.8	11.64	0.00e+00	0.73
CM002241.1-7221	CM002241.1	3709138	3755743	+	93093.5	46605.000	39.500000	34748.5	3235.0	10.74	0.00e+00	0.72
CM002238.1-12597	CM002238.1	5242137	5274666	+	85653.7	32529.000	31.500000	31971.5	2430.4	13.15	0.00e+00	0.80
CM002239.1-1053	CM002239.1	205	31226	+	77154.4	31021.000	120.000000	28799.0	2154.9	13.36	0.00e+00	0.89
CM002240.1-4574	CM002240.1	6409931	6436138	+	70320.1	26207.000	49.500000	26248.0	1806.2	14.53	0.00e+00	0.71
CM002238.1-9689	CM002238.1	216588	252558	+	68289.3	35970.000	52.000000	25490.0	2475.8	10.30	0.00e+00	0.76
CM002238.1-9736	CM002238.1	277138	302547	+	59161.8	25409.000	51.500000	22083.0	1852.8	11.92	0.00e+00	0.72
CM002240.1-6249	CM002240.1	6209705	6244451	+	58943.4	34746.000	29.000000	22001.5	2493.9	8.82	0.00e+00	0.84
CM002240.1-3842	CM002240.1	6022130	6056250	+	53996.5	34120.000	63.500000	20155.0	2259.8	8.92	0.00e+00	0.86
CM002237.1-205	CM002237.1	329	22589	+	53831.8	22260.000	179.500000	20093.5	1931.1	10.41	0.00e+00	0.71
CM002238.1-11302	CM002238.1	4624866	4663234	+	52602.1	38368.000	38.500000	19634.5	2425.7	8.09	0.00e+00	0.87
CM002239.1-5837	CM002239.1	318080	344415	+	46167.0	26335.000	52.500000	17232.5	1745.0	9.88	0.00e+00	0.79
