# HOMER Peaks
# Peak finding parameters:
# tag directory = /scratch/evt82290/Run129/homer/tag/129-34_ChIP_cac-1_K27me3_AM_Rep_2
#
# total peaks = 851
# peak size = 150
# peaks found using tags on both strands
# minimum distance between peaks = 530
# fragment length = 148
# genome size = 41233741
# Total tags = 1146276.5
# Total tags in peaks = 193125.5
# Approximate IP efficiency = 16.85%
# tags per bp = 0.027734
# expected tags per peak = 4.160
# maximum tags considered per bp = 2.0
# effective number of tags used for normalization = 10000000.0
# Individual peaks have been stitched together into variable length regions
# Poisson p-value threshold = 1.000000e-03
# Poisson tag threshold = 13.0
# number of putative peaks = 32626
#
# input tag directory = /scratch/evt82290/Run129/homer/tag/129-44_ChIP_cac-1_input
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 125
#
# size of region used for local filtering = 10000
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 0
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks /scratch/evt82290/Run129/homer/tag/129-34_ChIP_cac-1_K27me3_AM_Rep_2 -style histone -region -size 150 -minDist 530 -o /scratch/evt82290/Run129/Peaks/129-34_ChIP_cac-1_K27me3_AM_Rep_2_peaks.txt -i /scratch/evt82290/Run129/homer/tag/129-44_ChIP_cac-1_input
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	region size	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Clonal Fold Change
CM002242.1-1476	CM002242.1	4232479	4255174	+	49115.6	22695.000	15.000000	5630.0	657.3	8.57	0.00e+00	0.97
CM002237.1-17	CM002237.1	321	20776	+	46293.4	20455.000	102.500000	5306.5	558.4	9.50	0.00e+00	0.94
CM002240.1-2392	CM002240.1	6411143	6436144	+	42973.9	25001.000	18.000000	4926.0	524.0	9.40	0.00e+00	0.92
CM002239.1-157	CM002239.1	143	16457	+	33556.5	16314.000	53.500000	3846.5	343.4	11.20	0.00e+00	0.99
CM002237.1-1402	CM002237.1	4468687	4478572	+	30616.5	9885.000	15.000000	3509.5	274.9	12.76	0.00e+00	0.90
CM002238.1-11	CM002238.1	166	12365	+	29752.9	12199.000	117.500000	3410.5	368.7	9.25	0.00e+00	0.99
CM002238.1-7684	CM002238.1	4804587	4830256	+	28719.1	25669.000	13.500000	3292.0	503.5	6.54	0.00e+00	0.95
CM002236.1-1956	CM002236.1	9787070	9798764	+	26830.4	11694.000	15.000000	3075.5	347.3	8.86	0.00e+00	0.90
CM002238.1-2965	CM002238.1	380291	401094	+	25260.0	20803.000	22.500000	2895.5	457.8	6.32	0.00e+00	0.99
CM002238.1-7320	CM002238.1	4783322	4804198	+	24331.0	20876.000	14.000000	2789.0	381.1	7.32	0.00e+00	0.97
CM002238.1-7067	CM002238.1	5265588	5274665	+	22738.8	9077.000	14.500000	2606.5	243.1	10.72	0.00e+00	0.95
CM002238.1-7288	CM002238.1	4731929	4750161	+	22254.7	18232.000	14.000000	2551.0	365.3	6.98	0.00e+00	0.99
CM002239.1-1855	CM002239.1	5993805	6000659	+	22206.7	6854.000	21.500000	2545.5	210.6	12.09	0.00e+00	0.95
CM002238.1-5806	CM002238.1	223963	242380	+	22193.6	18417.000	16.000000	2544.0	403.2	6.31	0.00e+00	0.99
CM002241.1-1992	CM002241.1	3735434	3754602	+	22080.2	19168.000	20.500000	2531.0	408.1	6.20	0.00e+00	0.93
CM002241.1-2125	CM002241.1	3793538	3809912	+	21905.7	16374.000	20.000000	2511.0	356.1	7.05	0.00e+00	0.95
CM002240.1-1724	CM002240.1	6211836	6229197	+	20453.2	17361.000	21.500000	2344.5	379.3	6.18	0.00e+00	0.92
CM002241.1-2928	CM002241.1	3709281	3725520	+	19777.1	16239.000	17.000000	2267.0	352.1	6.44	0.00e+00	0.94
CM002239.1-3299	CM002239.1	318240	335346	+	18730.2	17106.000	16.500000	2147.0	354.2	6.06	0.00e+00	1.00
CM002239.1-3274	CM002239.1	175066	191147	+	18163.2	16081.000	16.500000	2082.0	346.8	6.00	0.00e+00	0.93
KI440766.1-1	KI440766.1	177	7322	+	17788.0	7145.000	156.500000	2039.0	197.4	10.33	0.00e+00	0.92
CM002240.1-2929	CM002240.1	645765	661281	+	16514.3	15516.000	15.500000	1893.0	345.0	5.49	0.00e+00	0.96
CM002239.1-4496	CM002239.1	198307	211096	+	16309.3	12789.000	14.000000	1869.5	280.1	6.67	0.00e+00	0.98
CM002241.1-3165	CM002241.1	4212686	4218331	+	15903.7	5645.000	16.500000	1823.0	181.0	10.07	0.00e+00	0.93
CM002238.1-7059	CM002238.1	5243758	5255799	+	15785.9	12041.000	14.500000	1809.5	249.8	7.24	0.00e+00	0.95
CM002241.1-3742	CM002241.1	3759918	3772614	+	15576.5	12696.000	15.000000	1785.5	268.0	6.66	0.00e+00	0.95
CM002238.1-3302	CM002238.1	292340	302941	+	14778.3	10601.000	21.500000	1694.0	232.3	7.29	0.00e+00	0.91
CM002238.1-2385	CM002238.1	4673064	4685437	+	14760.8	12373.000	24.500000	1692.0	261.5	6.47	0.00e+00	0.96
CM002240.1-3811	CM002240.1	6114970	6125637	+	14656.2	10667.000	13.500000	1680.0	248.7	6.75	0.00e+00	0.91
CM002236.1-987	CM002236.1	9768246	9776860	+	14193.8	8614.000	20.000000	1627.0	204.9	7.94	0.00e+00	0.97
CM002239.1-4010	CM002239.1	640082	654395	+	14010.6	14313.000	15.000000	1606.0	319.7	5.02	0.00e+00	0.93
CM002242.1-14	CM002242.1	172	4629	+	13888.4	4457.000	117.500000	1592.0	117.0	13.60	0.00e+00	0.91
CM002238.1-7788	CM002238.1	5256260	5264908	+	13478.4	8648.000	13.500000	1545.0	200.4	7.71	0.00e+00	0.97
CM002240.1-3800	CM002240.1	6060107	6068904	+	12623.5	8797.000	13.500000	1447.0	196.3	7.37	0.00e+00	0.92
CM002241.1-2448	CM002241.1	3490427	3499686	+	12392.3	9259.000	18.500000	1420.5	223.1	6.37	0.00e+00	0.91
CM002240.1-3387	CM002240.1	6080533	6089108	+	12148.0	8575.000	14.500000	1392.5	194.4	7.16	0.00e+00	0.95
CM002238.1-6050	CM002238.1	5088743	5099512	+	12108.8	10769.000	16.000000	1388.0	238.6	5.82	0.00e+00	0.97
CM002238.1-2165	CM002238.1	4855820	4864378	+	10791.5	8558.000	25.500000	1237.0	193.0	6.41	0.00e+00	0.92
CM002241.1-2259	CM002241.1	4157749	4164096	+	10451.2	6347.000	19.500000	1198.0	155.6	7.70	0.00e+00	0.93
CM002240.1-2587	CM002240.1	6190509	6197576	+	10307.3	7067.000	17.000000	1181.5	160.7	7.35	0.00e+00	0.90
CM002236.1-2757	CM002236.1	286878	294878	+	9971.4	8000.000	13.000000	1143.0	183.1	6.24	0.00e+00	0.94
CM002239.1-3403	CM002239.1	5847440	5855166	+	9892.9	7726.000	16.500000	1134.0	189.7	5.98	0.00e+00	0.98
CM002239.1-1500	CM002239.1	5863454	5872233	+	9862.4	8779.000	23.000000	1130.5	199.2	5.68	0.00e+00	0.98
CM002238.1-5823	CM002238.1	277270	284901	+	9648.6	7631.000	16.000000	1106.0	171.1	6.46	0.00e+00	0.93
CM002238.1-8007	CM002238.1	4647952	4657876	+	9469.8	9924.000	13.000000	1085.5	193.7	5.60	0.00e+00	0.96
CM002240.1-1962	CM002240.1	6151322	6159824	+	9434.9	8502.000	20.000000	1081.5	194.7	5.55	0.00e+00	0.97
CM002241.1-2490	CM002241.1	3774961	3782780	+	9330.2	7819.000	18.500000	1069.5	174.2	6.14	0.00e+00	0.92
CM002242.1-994	CM002242.1	919404	929530	+	9160.1	10126.000	18.000000	1050.0	217.8	4.82	0.00e+00	0.95
CM002238.1-4454	CM002238.1	4992224	5001457	+	9051.0	9233.000	19.000000	1037.5	206.8	5.02	0.00e+00	1.04
CM002236.1-70	CM002236.1	185	2986	+	9024.9	2801.000	66.500000	1034.5	62.1	16.67	0.00e+00	0.83
CM002236.1-726	CM002236.1	9757386	9763782	+	9011.8	6396.000	23.000000	1033.0	145.1	7.12	0.00e+00	0.93
CM002238.1-7315	CM002238.1	4775119	4782923	+	8832.9	7804.000	14.000000	1012.5	154.8	6.54	0.00e+00	0.92
CM002240.1-3404	CM002240.1	6173640	6179005	+	8597.4	5365.000	14.500000	985.5	123.8	7.96	0.00e+00	0.97
CM002238.1-5249	CM002238.1	271490	275551	+	8549.4	4061.000	17.000000	980.0	94.1	10.42	0.00e+00	0.98
CM002241.1-46	CM002241.1	132	3064	+	8484.0	2932.000	64.500000	972.5	60.8	15.99	0.00e+00	0.91
CM002242.1-991	CM002242.1	909417	917096	+	8431.6	7679.000	18.000000	966.5	171.8	5.63	0.00e+00	0.94
CM002241.1-4088	CM002241.1	454328	464228	+	8427.3	9900.000	14.000000	966.0	215.8	4.48	1.76e-305	0.99
CM002239.1-5190	CM002239.1	335780	344041	+	8414.2	8261.000	13.000000	964.5	162.1	5.95	0.00e+00	0.96
CM002240.1-2549	CM002240.1	6027134	6034638	+	8348.8	7504.000	17.000000	957.0	146.5	6.53	0.00e+00	0.95
CM002236.1-1490	CM002236.1	296019	304307	+	8209.2	8288.000	16.500000	941.0	169.7	5.55	0.00e+00	0.99
CM002236.1-1816	CM002236.1	256780	265895	+	8143.8	9115.000	15.000000	933.5	196.8	4.74	2.73e-313	0.92
CM002239.1-3756	CM002239.1	378161	385129	+	8074.0	6968.000	15.500000	925.5	136.1	6.80	0.00e+00	0.93
CM002240.1-3564	CM002240.1	6038842	6047319	+	7751.2	8477.000	14.000000	888.5	156.0	5.70	0.00e+00	0.91
CM002238.1-5524	CM002238.1	261307	266382	+	7677.0	5075.000	16.500000	880.0	114.6	7.68	0.00e+00	0.92
CM002240.1-2856	CM002240.1	6096272	6103045	+	7620.3	6773.000	16.000000	873.5	155.0	5.63	0.00e+00	0.93
CM002238.1-5827	CM002238.1	285768	291335	+	7559.3	5567.000	16.000000	866.5	120.9	7.17	0.00e+00	1.00
CM002238.1-4320	CM002238.1	448094	455811	+	7511.3	7717.000	19.000000	861.0	170.8	5.04	1.23e-307	0.96
CM002238.1-7001	CM002238.1	5024290	5032030	+	7371.7	7740.000	14.500000	845.0	165.1	5.12	2.10e-306	0.93
CM002239.1-2375	CM002239.1	5877823	5886204	+	7262.6	8381.000	19.500000	832.5	176.8	4.71	1.23e-277	0.97
CM002238.1-3688	CM002238.1	266850	271009	+	7232.1	4159.000	20.500000	829.0	100.4	8.26	0.00e+00	0.92
CM002242.1-1908	CM002242.1	884940	891769	+	6979.1	6829.000	13.000000	800.0	159.0	5.03	2.01e-285	0.93
CM002239.1-4619	CM002239.1	727930	735201	+	6970.4	7271.000	14.000000	799.0	162.1	4.93	2.33e-279	1.06
CM002239.1-3699	CM002239.1	109246	114674	+	6891.9	5428.000	15.500000	790.0	124.3	6.36	0.00e+00	1.02
CM002241.1-1909	CM002241.1	3826898	3832152	+	6778.5	5254.000	21.000000	777.0	127.3	6.10	0.00e+00	0.99
CM002239.1-4608	CM002239.1	717491	723958	+	6704.3	6467.000	14.000000	768.5	147.3	5.22	1.13e-283	0.93
CM002239.1-1989	CM002239.1	20078	26182	+	6656.3	6104.000	20.500000	763.0	125.9	6.06	9.39e-323	1.05
CM002240.1-3614	CM002240.1	6198580	6203505	+	6298.7	4925.000	14.000000	722.0	107.4	6.72	0.00e+00	0.92
CM002238.1-5453	CM002238.1	5059973	5064354	+	6255.0	4381.000	17.000000	717.0	115.8	6.19	4.35e-309	0.90
CM002238.1-5626	CM002238.1	4639110	4647385	+	6159.1	8275.000	16.500000	706.0	158.6	4.45	1.54e-222	1.05
CM002239.1-3339	CM002239.1	385756	391182	+	5666.2	5426.000	16.500000	649.5	113.8	5.71	8.30e-261	0.92
CM002240.1-3200	CM002240.1	6051237	6055612	+	5631.3	4375.000	15.000000	645.5	97.5	6.62	7.70e-294	0.96
CM002236.1-1953	CM002236.1	9781398	9786566	+	5578.9	5168.000	15.000000	639.5	135.6	4.72	5.26e-214	0.92
CM002236.1-2684	CM002236.1	11738	16403	+	5526.6	4665.000	13.000000	633.5	102.9	6.16	9.97e-272	0.89
CM002241.1-1554	CM002241.1	23189	27606	+	5469.9	4417.000	22.500000	627.0	90.4	6.94	8.70e-297	0.97
CM002238.1-7819	CM002238.1	217246	222584	+	5365.2	5338.000	13.000000	615.0	113.2	5.43	1.75e-236	0.98
CM002241.1-3261	CM002241.1	3469690	3474432	+	5356.5	4742.000	16.000000	614.0	103.4	5.94	1.02e-255	0.96
CM002241.1-3941	CM002241.1	3645946	3650289	+	5208.2	4343.000	14.500000	597.0	115.0	5.19	3.94e-220	0.95
CM002239.1-4129	CM002239.1	5887391	5891709	+	5164.5	4318.000	15.000000	592.0	103.2	5.74	3.22e-239	0.93
CM002238.1-4465	CM002238.1	5014023	5018391	+	5155.8	4368.000	19.000000	591.0	108.7	5.44	1.64e-227	1.01
CM002238.1-6072	CM002238.1	5225497	5230847	+	5147.1	5350.000	16.000000	590.0	115.5	5.11	2.67e-214	0.97
CM002239.1-2192	CM002239.1	372494	377284	+	5051.1	4790.000	20.000000	579.0	110.7	5.23	4.89e-215	0.93
CM002241.1-3729	CM002241.1	3731234	3734703	+	5042.4	3469.000	15.000000	578.0	68.6	8.42	3.68e-316	0.94
CM002240.1-3358	CM002240.1	6022538	6026519	+	4994.4	3981.000	14.500000	572.5	87.6	6.54	3.31e-258	0.97
CM002241.1-4488	CM002241.1	3503667	3507607	+	4959.5	3940.000	13.500000	568.5	99.2	5.73	3.42e-229	0.94
CM002242.1-1559	CM002242.1	4196942	4201782	+	4889.7	4840.000	14.500000	560.5	105.8	5.30	1.97e-210	0.92
CM002241.1-2924	CM002241.1	3702914	3708390	+	4854.8	5476.000	17.000000	556.5	99.5	5.59	1.45e-219	0.88
CM002240.1-3244	CM002240.1	6229634	6234637	+	4745.8	5003.000	15.000000	544.0	102.0	5.33	5.99e-206	0.99
CM002239.1-5105	CM002239.1	5949371	5952315	+	4654.2	2944.000	13.500000	533.5	77.6	6.88	9.43e-251	0.93
CM002238.1-6555	CM002238.1	4627600	4633677	+	4610.6	6077.000	15.000000	528.5	114.4	4.62	1.88e-173	0.91
CM002239.1-3368	CM002239.1	707417	712019	+	4444.8	4602.000	16.500000	509.5	103.1	4.94	4.58e-179	0.97
CM002238.1-6919	CM002238.1	4751008	4754983	+	4396.8	3975.000	14.500000	504.0	86.8	5.80	3.67e-206	0.99
CM002237.1-1630	CM002237.1	4446196	4450478	+	4388.1	4282.000	14.000000	503.0	91.1	5.52	9.42e-197	0.96
CM002239.1-1846	CM002239.1	5927665	5930581	+	4309.6	2916.000	21.500000	494.0	74.8	6.60	2.81e-225	0.98
CM002238.1-7096	CM002238.1	245252	250058	+	4279.1	4806.000	14.000000	490.5	88.1	5.57	5.71e-193	0.94
CM002238.1-8086	CM002238.1	4865202	4870219	+	4235.5	5017.000	13.000000	485.5	102.0	4.76	2.30e-164	1.01
CM002237.1-1004	CM002237.1	33053	37119	+	4187.5	4066.000	17.500000	480.0	88.1	5.45	1.48e-185	1.04
CM002238.1-6404	CM002238.1	29872	33901	+	4183.1	4029.000	15.000000	479.5	98.5	4.87	3.53e-166	0.94
CM002238.1-3696	CM002238.1	326222	329182	+	4178.7	2960.000	20.500000	479.0	75.4	6.35	1.05e-211	0.96
CM002236.1-1122	CM002236.1	35283	39799	+	4148.2	4516.000	18.500000	475.5	94.8	5.02	1.03e-169	0.97
KI440765.1-283	KI440765.1	87501	90740	+	4043.5	3239.000	17.500000	463.5	87.6	5.29	4.96e-174	0.95
CM002236.1-767	CM002236.1	5482	8669	+	4026.1	3187.000	22.000000	461.5	75.4	6.12	1.60e-197	1.01
CM002238.1-7648	CM002238.1	4690382	4694140	+	3834.2	3758.000	13.500000	439.5	90.9	4.83	2.33e-151	0.95
CM002239.1-1236	CM002239.1	140991	143678	+	3712.0	2687.000	24.000000	425.5	51.1	8.33	3.91e-231	0.94
CM002240.1-1186	CM002240.1	6386680	6389027	+	3703.3	2347.000	25.000000	424.5	56.0	7.58	3.06e-215	0.95
CM002239.1-4508	CM002239.1	251970	256496	+	3668.4	4526.000	14.000000	420.5	98.6	4.26	4.41e-127	0.92
CM002241.1-3169	CM002241.1	16461	19909	+	3651.0	3448.000	16.000000	418.5	70.4	5.95	8.15e-175	0.95
CM002238.1-5780	CM002238.1	12900	15355	+	3629.1	2455.000	16.000000	416.0	52.0	7.99	7.89e-220	0.96
CM002239.1-4430	CM002239.1	5939305	5943248	+	3624.8	3943.000	14.500000	415.5	76.9	5.40	2.80e-159	0.95
CM002238.1-5904	CM002238.1	4575378	4579059	+	3555.0	3681.000	16.000000	407.5	80.1	5.09	1.06e-147	0.95
CM002239.1-3153	CM002239.1	612574	616514	+	3555.0	3940.000	17.000000	407.5	90.1	4.52	3.23e-131	0.96
CM002238.1-7135	CM002238.1	413621	416479	+	3524.5	2858.000	14.000000	404.0	72.3	5.59	3.69e-160	0.95
CM002241.1-4715	CM002241.1	443947	446993	+	3524.5	3046.000	13.000000	404.0	65.2	6.20	2.57e-175	0.92
CM002242.1-757	CM002242.1	5781	9150	+	3472.1	3369.000	20.500000	398.0	73.9	5.38	1.59e-152	0.92
CM002242.1-1523	CM002242.1	945096	948738	+	3472.1	3642.000	14.500000	398.0	94.7	4.20	1.04e-118	0.98
CM002238.1-8037	CM002238.1	4755437	4759382	+	3441.6	3945.000	13.000000	394.5	76.0	5.19	8.11e-146	0.96
KI440766.1-245	KI440766.1	10513	14228	+	3424.1	3715.000	18.000000	392.5	96.5	4.07	1.29e-112	0.92
CM002237.1-1946	CM002237.1	4158833	4162625	+	3402.3	3792.000	13.000000	390.0	87.8	4.44	1.38e-123	0.97
CM002240.1-3350	CM002240.1	5975649	5979350	+	3275.8	3701.000	14.500000	375.5	74.2	5.06	1.42e-135	0.93
CM002241.1-4622	CM002241.1	9334	11635	+	3275.8	2301.000	13.000000	375.5	50.2	7.47	1.08e-188	1.01
